Date,Statement
1994-02-04,"Chairman Alan Greenspan announced today that the Federal Open Market Committeedecided to increase slightly the degree of pressure on reserve positions. Theaction is expected to be associated with a small increase in short-term moneymarket interest rates.The decision was taken to move toward a less accommodative stance in monetarypolicy in order to sustain and enhance the economic expansion.Chairman Greenspan decided to announce this action immediately so as to avoidany misunderstanding of the Committee's purposes, given the fact that this isthe first firming of reserve market conditions by the Committee since early1989."
1994-03-22,Chairman Alan Greenspan announced today that the Federal Open Market Committeedecided to increase slightly the degree of pressure on reserve positions. Thisaction is expected to be associated with a small increase in short-term moneymarket interest rates.
1994-05-17,"The Federal Reserve today announced two actions designed to maintain favorabletrends in inflation and thereby sustain the economic expansion.The Board approved an increase in the discount rate from 3 percent to 3-1/2percent, effective immediately, and the Federal Open Market Committee agreedthat this increase should be allowed to show through completely into interestrates in reserve markets.These actions, combined with the three adjustments initiated earlier this yearby the FOMC, substantially remove the degree of monetary accommodation whichprevailed throughout 1993. As always, the Federal Reserve will continue tomonitor economic and financial developments to judge the appropriate stance ofmonetary policy.In taking the discount action, the Board approved requests submitted by theBoards of Directors of eleven Federal Reserve Banks -- Boston, New York,Philadelphia, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City,Dallas and San Francisco. The discount rate is the interest rate that ischarged depository institutions when they borrow from their district FederalReserve Bank."
1994-08-16,"The Federal Reserve announced today the following monetary policy actions:* The Board of Governors approved an increase in the discount rate from 3 1/2  percent to 4 percent, effective immediately.* The Federal Open Market Committee agreed that this increase would be allowed  to show through completely into interest rates in reserve markets.These measures were taken against the background of evidence of continuingstrength in the economic expansion and high levels of resource utilization. Theactions are intended to keep inflationary pressures contained, and therebyfoster sustainable economic growth.The Federal Reserve will continue to monitor economic and financialdevelopments to gauge the appropriate stance of policy. But these actions areexpected to be sufficient, at least for a time, to meet the objective ofsustained, noninflationary growth.In taking the discount rate action, the Board approved requests submitted bythe Boards of Directors of the Federal Reserve Banks of Boston, New York,Richmond, Kansas City, and Dallas. The discount rate is the interest rate thatis charged depository institutions when they borrow from their district FederalReserve Banks."
1994-11-15,"The Federal Reserve Board today approved an increase in the discount rate from4 percent to 4 3/4 percent, effective immediately.In a related move, the Federal Open Market Committee decided that the increasein the discount rate should be reflected fully in interest rates in reservemarkets.These measures were taken against the background of evidence of persistentstrength in economic activity and high and rising levels of resourceutilization. In these circumstances, the Federal Reserve views these actions asnecessary to keep inflation contained, and thereby foster sustainable economicgrowth.In taking the discount rate action, the Board approved requests submitted bythe Boards of Directors of the Federal Reserve Banks of New York, St. Louis,and Kansas City. The discount rate is the interest rate that is chargeddepository institutions when they borrow from their district Federal Reservebanks."
1995-02-01,"The Federal Reserve Board today approved an increase in the discount rate from4 3/4 percent to 5 1/4 percent, effective immediately.In a related move, the Federal Open Market Committee agreed that this increaseshould be reflected fully in interest rates in the reserve markets.Despite tentative signs of some moderation in growth, economic activity hascontinued to advance at a substantial pace, while resource utilization hasrisen further. In these circumstances, the Federal Reserve views these actionsas necessary to keep inflation contained, and thereby foster sustainableeconomic growth.In taking the discount action, the Board approved requests submitted by theBoards of Directors of the Federal Reserve Banks of Boston, New York, Richmond,Chicago, St. Louis, Kansas City and San Francisco. The discount rate is theinterest rate that is charged depository institutions when they borrow fromtheir district Federal Reserve Banks."
1995-07-06,"Chairman Alan Greenspan announced today that the Federal Open Market Committeedecided to decrease slightly the degree of pressure on bank reserve positions.As a result of the monetary tightening initiated in early 1994, inflationarypressures have receded enough to accommodate a modest adjustment in monetaryconditions.Today's action will be reflected in a 25 basis point decline in the federalfunds rate from about 6 percent to about 5-3/4 percent."
1995-12-19,"Chairman Alan Greenspan announced today that the Federal Open Market Committeedecided to decrease slightly the degree of pressure on reserve positions.Since the last easing of monetary policy in July, inflation has been somewhatmore favorable than anticipated, and this result along with an associatedmoderation in inflation expectations warrants a modest easing in monetaryconditions.This action is expected to be reflected in a decline in the federal funds rateof 25 basis points, from about 5 3/4 percent to about 5 1/2 percent."
1996-01-31,"The Federal Reserve today announced the following policy actions:* The Board of Governors approved a reduction in the discount rate from 5-1/4percent to 5 percent, effective immediately.* In a related move, the Federal Open Market Committee agreed that thereduction would be reflected fully in interest rates in the reserve markets.This is expected to result in a reduction in the federal funds rate of 25 basispoints, from about 5-1/2 percent to about 5-1/4 percent.Moderating economic expansion in recent months has reduced potentialinflationary pressures going forward. With price and cost trends alreadysubdued, a slight easing of monetary policy is consistent with containedinflation and sustainable growth.In taking the discount action, the Board approved requests submitted by theBoards of Directors of the Federal Reserve Banks of New York, Philadelphia,Cleveland, Atlanta, Minneapolis, and Dallas."
1997-03-25,"The Federal Open Market Committee decided today to tighten money marketconditions slightly, expecting the federal funds rate to rise 1/4 percentagepoint to around 5-1/2 percent.This action was taken in light of persisting strength in demand, which isprogressively increasing the risk of inflationary imbalances developing in theeconomy that would eventually undermine the long expansion.In these circumstances, the slight firming of monetary conditions is viewed asa prudent step that affords greater assurance of prolonging the currenteconomic expansion by sustaining the existing low inflation environment throughthe rest of this year and next. The experience of the last several years hasreinforced the conviction that low inflation is essential to realizing theeconomy's fullest growth potential.No change was made in the Federal Reserve discount rate, which remains at 5percent."
